pro_exception_no,pro_no,LocationID,pro_available_ind,pro_start_time,pro_end_time,pro_exception_date,pro_notes,pro_recur_enddate,pro_recur_pattern,recorded_date,recorded_by_computer,pro_recur_range,pro_recur_end_Occurence,pro_recur_daily_pattern,pro_recur_weekly_pattern,pro_recur_monthly_pattern,pro_recurs_every,pro_recur_month_day,pro_recur_day_type,pro_recur_day_month_type,pro_recur_weekly_day,pro_delete_ind,exceptionRecurrenceID
1,2,2,0,00:00:00,23:59:00,2011-08-31 00:00:00.000,"Wednesday,august 31",2011-08-31 00:00:00.000,0,NULL,NULL,0,1,0,0,0,0,0,0,0,0,0,NULL
2,8,2,1,13:45:00,19:00:00,2011-08-31 00:00:00.000,"Wednesday, February 16, 2011",2011-08-31 00:00:00.000,0,NULL,NULL,0,1,0,0,0,0,0,0,0,0,0,NULL
3,8,2,1,10:00:00,13:00:00,2011-08-31 00:00:00.000,"Wednesday, February 16, 2011",2011-08-31 00:00:00.000,0,NULL,NULL,0,1,0,0,0,0,0,0,0,0,0,NULL
4,8,2,0,13:00:00,13:45:00,2011-08-31 00:00:00.000,"Wednesday, February 16, 2011",2011-08-31 00:00:00.000,0,NULL,NULL,0,1,0,0,0,0,0,0,0,0,0,NULL
5,8,2,0,10:00:00,18:00:00,2011-06-04 00:00:00.000,"Wednesday, February 16, 2011",2011-06-04 00:00:00.000,0,NULL,NULL,0,1,0,0,0,0,0,0,0,0,0,NULL
6,8,2,0,09:00:00,10:00:00,2011-08-31 00:00:00.000,"Wednesday, February 16, 2011",2011-08-31 00:00:00.000,0,NULL,NULL,0,1,0,0,0,0,0,0,0,0,0,NULL
7,8,2,0,19:00:00,23:59:00,2011-08-31 00:00:00.000,"Wednesday, February 16, 2011",2011-08-31 00:00:00.000,0,NULL,NULL,0,1,0,0,0,0,0,0,0,0,0,NULL
8,8,2,0,08:00:00,08:15:00,2011-09-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
9,2,2,0,14:00:00,14:15:00,2011-11-03 00:00:00.000,glaucoma follow up,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
10,8,2,1,10:00:00,18:00:00,2011-12-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
11,8,2,1,10:00:00,10:15:00,2011-12-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
12,8,2,0,08:00:00,10:00:00,2011-12-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
13,8,2,0,05:00:00,10:00:00,2011-12-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
14,8,2,0,11:00:00,11:15:00,2011-12-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
