code_category_cd,code,user_code,code_removed,code_default,code_calc,system_code,code_dev,rje_code,VSP_Code,VSP_CODE_Category,VSP_Code_desc,Warntime1,Warntime2,CDA_Code,CDA_Code_Description,Description,DoNotShow
5,2,Z,False,False,5,True,2,,,,,,,,,PPO,
5,3,Z,False,False,2,True,3,,,,,,,,,VSP,
5,4,C,False,True,1,True,4,,,,,,,,,Medicare Part B,
5,5,D,False,False,3,True,5,,,,,,,,,Medicaid,
5,6,I,False,False,4,True,6,,,,,,,,,HMO,
6,7,,False,False,0,False,7,,,,,,,,,United States,
6,8,,False,False,0,False,8,,,,,,,,,Israel,
8,11, ,False,False,0,False,11,,,,,,,,,Yellow Pages,
8,12, ,False,False,0,False,12,,,,,,,,,Walk in Patient,
8,13, ,False,False,0,False,13,,,,,,,,,Patient Referral,
8,14, ,False,False,0,False,14,,,,,,,,,Professional Referral,
11,15,CLE,False,True,0,True,15,,,,,,,,,Clear,
11,17,BLU,False,False,0,True,17,,,,,,,,,Blue,
11,18,BRO,False,False,0,True,18,,,,,,,,,Brown,
27,25, ,False,False,0,False,25,,,,,,,,,Examination Services,
27,26, ,False,False,0,False,26,,,,,,,,,Contact Lens Services,
27,27, ,False,False,0,False,27,,,,,,,,,Low Vision & Visual Therapy Svcs,
27,28, ,False,False,0,False,28,,,,,,,,,Diagnostic & Treatment Procedures,
27,29, ,False,False,0,False,29,,,,,,,,,Contact Lens - Ophthalmic Materials ,
27,30, ,False,False,0,False,30,,,,,,,,,Ophthalmic Lenses - Ophthalmic Materials,
30,31,,False,False,0,False,31,,,,,,,,,Single Provider,
30,32,,False,False,0,False,32,,,,,,,,,Multiple Provider,
30,33,,False,False,0,False,33,,,,,,,,,Multiple corporations,
30,34,,False,False,0,False,34,,,,,,,,,Multiple Offices,
31,35,OPTO,False,False,0,False,35,,,,,,,,,Optometry,
31,36,OPTHA,False,False,0,False,36,,,,,,,,,Ophthalmology,
31,37, ,False,False,0,False,37,,,,,,,,,Opticianry,
33,38,,False,False,0,False,38,,,,,,,,,Radial Keratomtry,
33,39,,False,False,0,False,39,,,,,,,,,Corneal Transplants,
34,40,S,True,False,0,False,40,,,,,,,,,Social Security Number,
34,41,E,True,False,0,False,41,,,,,,,,,Employer I.D. Number,
35,42,003,False,False,0,True,42,,,,,,,,,PA (Professional Association),
35,43,004,False,False,0,True,43,,,,,,,,,Clinic,
